Token,Labels gold,Labels baseline,Matches
Token,Predict,Predict,1
animal,animal.n.01,animal.n.01,1
is,O,O,1
grazing,graze.v.01,crop.v.05,0
in,O,O,1
field,field.n.01,field.n.01,1
dog,dog.n.01,dog.n.01,1
is,O,O,1
licking,lick.v.02,lick.v.02,1
baby,baby.n.01,baby.n.01,1
man,man.n.01,man.n.01,1
is,O,O,1
lumping,lump.v.01,lump.v.01,1
dough,dough.n.01,dough.n.01,1
man,man.n.01,man.n.01,1
is,O,O,1
playing,play.v.07,play.v.01,0
trumpet,trumpet.n.01,cornet.n.01,0
woman,woman.n.01,woman.n.01,1
is,O,O,1
playing,play.v.07,play.v.01,0
flute,flute.n.01,flute.n.01,1
woman,woman.n.01,woman.n.01,1
is,O,O,1
slicing,slice.v.03,slice.v.03,1
tofu,tofu.n.01,bean_curd.n.01,0
animal,animal.n.01,animal.n.01,1
with,O,O,1
big,big.a.01,big.a.01,1
eyes,eye.n.01,eye.n.01,1
is,O,O,1
voraciously,voraciously.r.01,voraciously.r.01,1
eating,eat.v.01,eat.v.01,1
man,man.n.01,man.n.01,1
is,O,O,1
racing,race.v.02,rush.v.01,0
for,O,O,1
lead,lead.n.01,lead.n.02,0
men,man.n.01,man.n.01,1
are,O,O,1
not,O,O,1
climbing,climb.v.01,climb.v.01,1
mountain,mountain.n.01,mountain.n.01,1
woman,woman.n.01,woman.n.01,1
is,O,O,1
not,O,O,1
picking,pick_up.v.01,pick.v.02,0
up,O,O,1
baby,baby.n.06,baby.n.01,0
kangaroo,kangaroo.n.01,kangaroo.n.01,1
Two,O,O,1
children,child.n.01,child.n.02,0
are,O,O,1
playing,play.v.05,play.v.01,0
with,O,O,1
ball,ball.n.01,ball.n.01,1
in,O,O,1
park,park.n.02,park.n.02,1
Two,O,O,1
people,person.n.01,person.n.01,1
are,O,O,1
kickboxing,O,O,1
and,O,O,1
spectators,spectator.n.01,spectator.n.01,1
watching,watch.v.01,watch.v.03,0
broke,break.v.02,break_out.v.01,0
bus~stop,bus_stop.n.01,bus_stop.n.01,1
is,O,O,1
n't,O,O,1
far,far.a.01,far.a.01,1
from,O,O,1
sold,sell.v.01,sell.v.01,1
to,O,O,1
in,O,O,1
lives,live.v.01,live.v.01,1
on,O,O,1
was,O,O,1
very,very.r.01,very.r.01,1
happy,happy.a.01,happy.a.01,1
baby,baby.n.01,baby.n.01,1
is,O,O,1
crawling,crawl.v.01,crawl.v.03,0
Do,O,O,1
have,have.v.04,O,0
credit~card,credit_card.n.01,credit_card.n.01,1
bought,buy.v.01,buy.v.01,1
book,book.n.02,book.n.02,1
for,O,O,1
ten,O,O,1
dollars,dollar.n.01,dollar.n.01,1
older,old.a.01,old.a.01,1
brother,brother.n.01,brother.n.01,1
is,O,O,1
two,O,O,1
years,year.n.01,year.n.01,1
than,O,O,1
Does,O,O,1
speak,speak.v.03,speak.v.03,1
gave,give.v.03,give.v.03,1
dog,dog.n.01,dog.n.01,1
bone,bone.n.01,bone.n.01,1
armed,arm.v.02,armed.a.01,0
with,O,O,1
guns,gun.n.01,gun.n.01,1
showers,shower.v.03,lavish.v.01,0
morning,morning.n.01,morning.n.01,1
was,O,O,1
born,O,bear.v.02,0
on,O,O,1
in,O,O,1
When,O,O,1
entered,enter.v.01,enter.v.01,1
room,room.n.01,room.n.01,1
was,O,O,1
playing,play.v.03,play.v.01,0
piano,piano.n.01,piano.n.01,1
's,O,O,1
room,room.n.01,room.n.01,1
was,be.v.01,O,0
large,large.a.01,large.a.01,1
one,room.n.01,person.n.01,0
hate,hate.v.01,hate.v.01,1
Mondays,O,monday.n.01,0
kind,entity.n.01,entity.n.01,1
of,O,O,1
monkeys,monkey.n.01,monkey.n.01,1
are,be.v.01,O,0
spread,spread.v.04,spread.v.09,0
table,table.n.02,table.n.02,1
returned,return.v.01,return.v.01,1
from,O,O,1
boy,boy.n.01,boy.n.01,1
showed,show.v.06,show.v.04,0
fear,fear.n.01,fear.n.01,1
's,O,O,1
very,very.r.01,very.r.01,1
sticky,sticky.a.01,sticky.a.01,1
Do,O,O,1
remember,remember.v.01,remember.v.01,1
default,default.n.04,default.n.01,0
value,value.n.01,value.n.01,1
is,be.v.06,O,0
zero,O,nothing.n.01,0
am,be.v.03,O,0
from,O,O,1
Hello,hello.n.01,O,0
and,O,O,1
always,time.n.08,O,0
dreamt,dream.v.01,dream.v.02,0
of,O,O,1
studying,study.v.04,study.v.05,0
medicine,medicine.n.03,medicine.n.02,0
broke,break_down.v.03,break_out.v.01,0
down,O,O,1
all~at~once,all_at_once.r.02,O,0
will,O,O,1
take,take.v.22,take_place.v.01,0
witness~stand,witness_stand.n.01,witness_stand.n.01,1
on,O,O,1
How,O,O,1
many,O,O,1
home~runs,home_run.n.01,O,0
did,O,O,1
hit,hit.v.08,hit.v.03,0
club,club.n.07,club.n.02,0
spawned,spawn.v.01,engender.v.01,0
do,O,O,1
n't,O,O,1
know,know.v.01,know.v.01,1
where,location.n.01,location.n.01,1
's,O,O,1
office,office.n.01,office.n.01,1
is,be.v.03,O,0
wants,want.v.01,want.v.01,1
'm,O,O,1
very,very.r.01,very.r.01,1
afraid,afraid.a.01,afraid.a.01,1
want,want.v.01,want.v.01,1
to,O,O,1
fly,fly.v.01,fly.v.01,1
above,O,O,1
clouds,cloud.n.02,cloud.n.02,1
called,call.v.03,call.v.01,0
misled,mislead.v.02,mislead.v.02,1
Only,O,merely.r.01,0
six,O,O,1
people,person.n.01,person.n.01,1
came,come.v.02,come.v.02,1
to,O,O,1
party,party.n.04,party.n.04,1
have,O,O,1
n't,O,O,1
received,receive.v.01,receive.v.01,1
anything,entity.n.01,entity.n.01,1
yet,O,O,1
is,be.v.03,O,0
to,O,O,1
east,east.n.05,east.n.05,1
of,O,O,1
wo,O,O,1
n't,O,O,1
bite,bite.v.01,bite.n.01,0
fells,fell.v.01,fell.v.01,1
trees,tree.n.01,tree.n.01,1
in,O,O,1
mountain,mountain.n.01,mountain.n.01,1
war,war.n.01,war.n.01,1
in,O,O,1
broke,break_out.v.01,break_out.v.01,1
out,O,O,1
ten,O,O,1
years,year.n.01,year.n.01,1
ago,O,O,1
Everybody,person.n.01,person.n.01,1
calls,call.v.01,call.v.05,0
small,small.a.01,small.a.01,1
cat,cat.n.01,cat.n.01,1
had,O,O,1
eyes,eye.n.01,eye.n.01,1
checked,check.v.01,check_in.v.01,0
do,O,O,1
n't,O,O,1
like,like.v.02,like.v.02,1
coffee,coffee.n.01,coffee.n.01,1
took,take.v.16,take.v.02,0
picture,picture.n.01,picture.n.01,1
of,O,O,1
dog,dog.n.01,dog.n.01,1
and,O,O,1
sent,send.v.03,send.v.01,0
to,O,O,1
festival,festival.n.02,festival.n.02,1
is,O,O,1
free,free.a.03,free.a.04,0
punished,punish.v.01,punish.v.01,1
children,child.n.02,child.n.02,1
came,come.v.02,come.v.02,1
at,O,O,1
about,O,O,1
six,O,O,1
'm,O,O,1
still,O,O,1
thirsty,thirsty.a.02,thirsty.a.02,1
'm,be.v.02,O,0
one,person.n.01,person.n.01,1
killed,kill.v.01,kill.v.01,1
's,O,O,1
brilliant,brilliant.a.01,O,0
hid,hide.v.01,hide.v.02,0
face,face.n.01,face.n.01,1
in,O,O,1
hands,hand.n.01,hand.n.01,1
knows,know.v.01,know.v.01,1
lied,lie.v.05,lie.v.05,1
arrived,arrive.v.01,arrive.v.01,1
at,O,O,1
station,station.n.01,station.n.01,1
five,O,O,1
kind,entity.n.01,entity.n.01,1
of,O,O,1
stone,stone.n.01,stone.n.01,1
is,be.v.01,O,0
substituted,substitute.v.01,substitute.v.02,0
injured,injured.a.01,injured.a.01,1
player,player.n.01,player.n.01,1
witch,witch.n.01,witch.n.01,1
threw,throw.v.01,throw.v.01,1
toad,toad.n.01,toad.n.01,1
into,O,O,1
cauldron,cauldron.n.01,caldron.n.01,0
's,O,O,1
house,house.n.01,house.n.01,1
was,O,O,1
destroyed,destroy.v.01,destroy.v.01,1
by,O,O,1
hurricane,hurricane.n.01,hurricane.n.01,1
'll,O,O,1
put,put.v.01,put.v.01,1
somewhere,location.n.01,location.n.01,1
safe,safe.a.01,safe.a.01,1
filled,fill.v.01,fill.v.01,1
vase,vase.n.01,vase.n.01,1
with,O,O,1
water,water.n.01,water.n.06,0
used,O,O,1
to,O,O,1
love,love.v.03,love.v.01,0
left,leave.v.01,leave.v.01,1
bedroom,bedroom.n.01,bedroom.n.01,1
and,O,O,1
entered,enter.v.01,enter.v.01,1
living~room,living_room.n.01,living_room.n.01,1
How,O,O,1
much,O,O,1
does,O,O,1
cost,cost.v.01,cost.v.01,1
need,need.v.02,need.v.02,1
to,O,O,1
shit,shit.v.02,shit.n.01,0
dentist,dentist.n.01,dentist.n.01,1
pulled,pull.v.15,pull.v.15,1
bad,bad.a.03,bad.a.07,0
tooth,tooth.n.01,tooth.n.01,1
's,be.v.08,O,0
not,O,O,1
good,good.a.08,good.a.01,0
cook,cook.n.01,O,0
emigrated,emigrate.v.01,emigrate.v.01,1
to,O,O,1
when,O,O,1
was,O,O,1
thirty,O,O,1
car,car.n.01,car.n.01,1
is,O,O,1
exceeding,exceed.v.01,exceed.v.01,1
speed~limit,speed_limit.n.01,O,0
is,O,O,1
timid,timid.a.01,timid.a.01,1
n't,O,O,1
's,O,O,1
traitor,traitor.n.01,traitor.n.01,1
Many,O,O,1
peasants,peasant.n.01,peasant.n.01,1
died,die.v.01,die.v.01,1
during,O,O,1
drought,drought.n.01,drought.n.01,1
're,O,O,1
unhappy,unhappy.a.01,unhappy.a.01,1
Sue,female.n.02,sue.n.01,0
picked,pick_up.v.02,pick.v.02,0
up,O,O,1
pencil,pencil.n.01,pencil.n.01,1
off,O,O,1
floor,floor.n.01,floor.n.01,1
Palestine,region.n.03,palestine.n.01,0
is,O,O,1
called,call.v.01,call.v.01,1
in,O,O,1
prince,prince.n.01,prince.n.01,1
slew,slay.v.01,swerve.v.01,0
dragon,dragon.n.01,dragon.n.01,1
There,O,O,1
were,be.v.03,O,0
many,O,O,1
students,student.n.01,student.n.01,1
in,O,O,1
room,room.n.01,room.n.01,1
write,write.v.01,write.v.01,1
poems,poem.n.01,poem.n.01,1
is,be.v.01,O,0
Norwegian,country.n.02,country.n.02,1
town,town.n.01,town.n.01,1
think,think.v.01,think.v.01,1
is,O,O,1
drunk,drunk.a.01,drunk.a.01,1
is,O,O,1
always,time.n.01,O,0
smoking,smoke.v.01,smoke.v.01,1
did,O,O,1
vote,vote.v.01,vote.v.01,1
for,O,O,1
Playing,play.v.01,play.v.01,1
go,go.n.04,go.v.01,0
is,be.v.02,O,0
favorite,favorite.a.02,favorite.a.02,1
pastime,pastime.n.01,pastime.n.01,1
's,O,O,1
not,O,O,1
simple,simple.a.01,simple.n.01,0
showed,show.v.04,show.v.04,1
album,album.n.02,album.n.01,0
to,O,O,1
None,entity.n.01,entity.n.01,1
of,O,O,1
was,be.v.01,O,0
fault,fault.n.01,fault.n.01,1
have,O,O,1
been,be.v.03,O,0
to,O,O,1
twice,O,O,1
beautiful,beautiful.a.01,beautiful.a.01,1
place,place.n.01,O,0
loves,love.v.03,love.v.01,0
wife,wife.n.01,wife.n.01,1
tree,tree.n.01,tree.n.01,1
stopped,stop.v.02,stop.v.02,1
growing,grow.v.03,turn.v.07,0
is,O,O,1
n't,O,O,1
eating,eat.v.01,eat.v.01,1
apple,apple.n.01,apple.n.01,1
exaggerated,exaggerate.v.01,exaggerate.v.01,1
ca,O,O,1
n't,O,O,1
beat,beat.v.01,beat.v.01,1
at,O,O,1
chess,chess.n.02,chess.n.02,1
am,O,O,1
wetting,wet.v.01,wet.v.01,1
handkerchief,handkerchief.n.01,handkerchief.n.01,1
've,O,O,1
studied,study.v.04,study.v.01,0
Japanese,japanese.n.02,country.n.02,0
for,O,O,1
five,O,O,1
years,year.n.01,year.n.01,1
elephant,elephant.n.01,elephant.n.01,1
was,O,O,1
killed,kill.v.01,kill.v.01,1
by,O,O,1
hunter,hunter.n.01,hunter.n.01,1
Everyone,person.n.01,person.n.01,1
knows,know.v.04,know.v.01,0
everyone,person.n.01,person.n.01,1
had,O,O,1
purse,purse.n.01,purse.n.01,1
stolen,steal.v.01,steal.v.01,1
hates,hate.v.01,hate.v.01,1
pond,pond.n.01,pond.n.01,1
has,O,O,1
dried,dry_up.v.01,dry.v.01,0
up,O,O,1
express,express.n.02,express.a.02,0
arrives,arrive.v.01,arrive.v.01,1
at,O,O,1
was,be.v.01,O,0
blackmailer,blackmailer.n.01,blackmailer.n.01,1
Mongolian,country.n.02,mongolian.a.01,0
army,army.n.01,army.n.01,1
approached,approach.v.01,approach.v.01,1
city,city.n.01,city.n.01,1
name,name.n.01,name.n.01,1
is,be.v.02,O,0
How,O,O,1
far,far.a.01,far.a.01,1
is,O,O,1
dripped,drip.v.01,drip.v.01,1
Is,O,O,1
busy,busy.a.01,busy.a.01,1
was,O,O,1
expelled,expel.v.01,expel.v.01,1
from,O,O,1
private~school,private_school.n.01,O,0
live,live.v.01,live.v.01,1
in,O,O,1
now,O,O,1
's,O,O,1
very,very.r.01,very.r.01,1
tall,tall.a.01,tall.a.01,1
can,O,O,1
drive,drive.v.01,drive.v.01,1
now,O,O,1
put,put.v.01,put.v.01,1
all,entity.n.01,O,0
money,money.n.01,money.n.01,1
in,O,O,1
box,box.n.01,box.n.01,1
are,O,O,1
nice,nice.a.01,nice.a.01,1
bought,buy.v.01,buy.v.01,1
new,new.a.05,new.a.01,0
pair,O,pair.n.02,0
of,O,O,1
glasses,glasses.n.01,glasses.n.01,1
remember,remember.v.01,remember.v.01,1
meeting,meet.v.01,meeting.n.01,0
somewhere,location.n.01,location.n.01,1
was,O,O,1
sharpening,sharpen.v.01,sharpen.v.01,1
knife,knife.n.01,knife.n.01,1
are,O,O,1
naughty,naughty.a.02,naughty.a.02,1
All,O,O,1
students,student.n.01,student.n.01,1
are,O,O,1
present,present.a.02,present.a.02,1
comes,come.v.08,come.v.08,1
from,O,O,1
cooked,cook.v.02,cook.v.01,0
dinner,dinner.n.01,dinner.n.01,1
's,be.v.03,O,0
in,O,O,1
was,O,O,1
coughing,cough.v.01,cough.v.01,1
father,father.n.01,father.n.01,1
likes,like.v.02,like.v.02,1
strong,strong.a.04,strong.a.01,0
coffee,coffee.n.01,coffee.n.01,1
was,O,O,1
delicious,delicious.a.02,delicious.a.02,1
'm,O,O,1
sick,sick.a.04,sick.a.01,0
of,O,O,1
eating,eat.v.01,eat.v.01,1
fast~food,fast_food.n.01,fast_food.n.01,1
wedding,wedding.n.01,wedding.n.01,1
will,O,O,1
take,take_place.v.01,take_place.v.01,1
place,O,O,1
on,O,O,1
Yumi,female.n.02,O,0
is,O,O,1
good,good.a.01,good.a.01,1
at,O,O,1
playing,play.v.01,play.v.01,1
tennis,tennis.n.01,tennis.n.01,1
bought,buy.v.01,buy.v.01,1
hat,hat.n.01,hat.n.01,1
at,O,O,1
store,store.n.01,store.n.01,1
Can,O,O,1
borrow,borrow.v.01,borrow.v.01,1
hair~dryer,hair_dryer.n.01,hair_dryer.n.01,1
boss,boss.n.01,boss.n.01,1
is,O,O,1
suffering,suffer.v.02,suffer.v.02,1
from,O,O,1
bad,bad.a.02,bad.a.07,0
cold,cold.n.01,cold.n.01,1
kind,entity.n.01,entity.n.01,1
of,O,O,1
inhaler,inhaler.n.01,inhaler.n.01,1
do,O,O,1
use,use.v.01,use.v.01,1
've,O,O,1
been,O,O,1
dreaming,dream.v.01,dream.v.01,1
of,O,O,1
trip,trip.n.01,trip.n.01,1
for,O,O,1
long,long.a.01,long.a.02,0
time,time.n.03,time.n.02,0
is,be.v.01,O,0
old,old.a.01,old.a.01,1
castle,castle.n.02,castle.n.02,1
climbed,climb.v.01,climb.v.01,1
to,O,O,1
summit,summit.n.02,acme.n.01,0
has,O,O,1
been,O,O,1
living,live.v.01,live.v.01,1
in,O,O,1
for,O,O,1
three,O,O,1
years,year.n.01,year.n.01,1
washed,wash.v.01,wash.v.02,0
carpet,carpet.n.01,carpet.n.01,1
offered,offer.v.02,offer.v.02,1
handkerchief,handkerchief.n.01,handkerchief.n.01,1
showed,show.v.04,show.v.04,1
photo,photo.n.01,photo.n.01,1
opened,open.v.01,open.v.01,1
freezer,freezer.n.01,deep-freeze.n.01,0
and,O,O,1
got,get_out.v.02,O,0
out,O,O,1
ice~cream,ice_cream.n.01,ice_cream.n.01,1
ticket,ticket.n.01,ticket.n.01,1
is,O,O,1
valid,valid.a.02,valid.a.01,0
to,O,O,1
are,O,O,1
insured,insure.v.03,see.v.10,0
with,O,O,1
damned,damned.a.01,curse.v.03,0
computer,computer.n.01,computer.n.01,1
wo,O,O,1
n't,O,O,1
work,work.v.04,work.v.02,0
old,old.n.01,old.a.01,0
woman,woman.n.01,woman.n.01,1
exited,exit.v.01,exit.v.01,1
bus,bus.n.01,bus.n.01,1
ca,O,O,1
n't,O,O,1
stop,stop.v.01,stop.v.01,1
now,O,O,1
cooked,cook.v.01,cook.v.01,1
dinner,dinner.n.01,dinner.n.01,1
charged,charge.v.03,charge.v.02,0
dollars,dollar.n.01,dollar.n.01,1
hour,hour.n.01,hour.n.01,1
for,O,O,1
mowing,mow.v.01,mow.v.01,1
lawns,lawn.n.01,lawn.n.01,1
am,O,O,1
clearing,clear.v.24,clear.v.24,1
throat,throat.n.01,throat.n.01,1
If,O,O,1
're,O,O,1
tired,tired.a.01,tired.a.01,1
go,go.v.01,go.v.01,1
to,O,O,1
bed,bed.n.01,bed.n.01,1
medical,medical.a.01,medical.a.01,1
technology,technology.n.01,technology.n.01,1
has,O,O,1
been,be.v.02,O,0
one,O,person.n.01,0
of,O,O,1
spin-offs,spin-off.n.01,by-product.n.02,0
space~program,space_program.n.01,O,0
grabbed,grab.v.03,grab.v.05,0
bag,bag.n.01,bag.n.01,1
's,O,O,1
dog,dog.n.01,dog.n.01,1
is,O,O,1
brown,brown.a.01,brown.a.01,1
used,O,O,1
to,O,O,1
love,love.v.03,love.v.01,0
do,O,O,1
not,O,O,1
accept,accept.v.02,accept.v.03,0
tips,tip.n.02,tip.n.01,0
dictionary,dictionary.n.01,dictionary.n.01,1
contains,contain.v.01,contain.v.02,0
about,O,O,1
half~a~million,O,O,1
words,word.n.01,word.n.01,1
diced,dice.v.01,cube.v.02,0
carrots,carrot.n.01,carrot.n.01,1
and,O,O,1
added,add.v.01,add.v.01,1
to,O,O,1
stew,stew.n.02,stew.n.02,1
'm,O,O,1
going,go.v.01,go.v.01,1
to,O,O,1
restaurant,restaurant.n.01,restaurant.n.01,1
'm,O,O,1
not,O,O,1
