Token,Labels gold,Labels baseline,Matches
Token,Predict,Predict,1
man,O,man.n.01,0
is,O,O,1
opening,open.v.01,open.v.01,1
soda,soda.n.02,sodium_carbonate.n.01,0
and,O,O,1
drinking,drink.v.01,drink.v.01,1
piano,piano.n.01,piano.n.01,1
is,O,O,1
being,O,O,1
played,play.v.07,play.v.01,0
by,O,O,1
someone,person.n.01,person.n.01,1
woman,woman.n.01,woman.n.01,1
is,O,O,1
riding,ride.v.02,ride.v.01,0
water~scooter,water_scooter.n.01,O,0
Men,man.n.01,man.n.01,1
are,O,O,1
sawing,saw.v.01,saw.v.01,1
logs,log.n.01,log.n.01,1
Potatoes,potato.n.01,potato.n.01,1
are,O,O,1
being,O,O,1
sliced,slice.v.03,slice.v.03,1
by,O,O,1
woman,woman.n.01,woman.n.01,1
is,O,O,1
not,O,O,1
as,O,O,1
punctual,punctual.a.01,punctual.a.01,1
little~sister,little_sister.n.01,little_sister.n.01,1
Egyptian,country.n.02,country.n.02,1
government,government.n.01,government.n.01,1
on,O,O,1
dismissed,dismiss.v.01,dismiss.v.01,1
speculation,speculation.n.01,guess.n.01,0
group,group.n.01,group.n.01,1
of,O,O,1
missing,missing.a.01,miss.v.06,0
had,O,O,1
helped,help.v.01,help.v.01,1
in,O,O,1
bombings,bombing.n.01,bombing.n.01,1
is,O,O,1
meters,meter.n.01,meter.n.01,1
high,high.a.01,high.a.02,0
movie,movie.n.01,movie.n.01,1
starts,start.v.01,start.v.02,0
at,O,O,1
ten~o'clock,O,O,1
books,book.n.01,book.n.02,0
are,O,O,1
easier,easy.a.01,easy.a.01,1
than,O,O,1
How,O,O,1
wide,wide.a.01,wide.a.01,1
is,O,O,1
river,river.n.01,river.n.01,1
bought,buy.v.02,buy.v.01,0
dress,O,dress.n.01,0
at,O,O,1
low,low.a.01,low.a.01,1
price,price.n.01,price.n.02,0
stayed,stay.v.02,stay.v.02,1
at,O,O,1
home,home.n.01,home.n.01,1
because,O,O,1
was,O,O,1
sick,sick.a.01,sick.a.01,1
was,O,O,1
too,too.r.01,O,0
proud,proud.a.01,proud.a.01,1
to,O,O,1
ask,ask.v.02,ask.v.01,0
for,O,O,1
help,help.n.01,help.v.01,0
complained,complain.v.01,complain.v.01,1
about,O,O,1
noise,noise.n.01,noise.n.01,1
say,say.v.01,say.v.01,1
is,O,O,1
seriously,seriously.r.02,seriously.r.01,0
ill,ill.a.01,ill.a.01,1
is,O,O,1
very,very.r.01,very.r.01,1
intelligent,intelligent.a.01,intelligent.a.01,1
snows,snow.v.01,snow.v.01,1
Do,O,O,1
like,like.v.02,like.v.02,1
music,music.n.01,music.n.01,1
How,O,O,1
much,O,O,1
are,be.v.13,O,0
pants,pants.n.03,pants.n.03,1
concert,concert.n.01,concert.n.01,1
was,O,O,1
very,very.r.01,very.r.01,1
good,good.a.01,good.a.01,1
closed,close.v.01,closed.a.01,0
door,door.n.01,door.n.01,1
owns,own.v.01,own.v.01,1
two,O,O,1
houses,house.n.01,house.n.01,1
and,O,O,1
boat,boat.n.01,boat.n.01,1
din,O,boom.v.01,0
nae,O,O,1
ken,know.v.01,know.v.04,0
was,O,O,1
bewitched,bewitch.v.01,bewitch.v.03,0
by,O,O,1
smile,smile.n.01,smile.n.01,1
little~sister,little_sister.n.01,little_sister.n.01,1
goes,go_to.v.01,go.v.01,0
to,O,O,1
nursery~school,nursery_school.n.01,O,0
brother,O,brother.n.01,0
wants,want.v.01,want.v.01,1
to,O,O,1
kill,kill.v.01,kill.v.01,1
hates,hate.v.01,hate.v.01,1
everybody,person.n.01,person.n.01,1
