Token,Predict
man,man.n.01
is,O
opening,open.v.01
soda,sodium_carbonate.n.01
and,O
drinking,drink.v.01
piano,piano.n.01
is,O
being,O
played,play.v.01
by,O
someone,person.n.01
woman,woman.n.01
is,O
riding,ride.v.01
water~scooter,O
Men,man.n.01
are,O
sawing,saw.v.01
logs,log.n.01
Potatoes,potato.n.01
are,O
being,O
sliced,slice.v.03
by,O
woman,woman.n.01
is,O
not,O
as,O
punctual,punctual.a.01
little~sister,little_sister.n.01
Egyptian,country.n.02
government,government.n.01
on,O
dismissed,dismiss.v.01
speculation,guess.n.01
group,group.n.01
of,O
missing,miss.v.06
had,O
helped,help.v.01
in,O
bombings,bombing.n.01
is,O
meters,meter.n.01
high,high.a.02
movie,movie.n.01
starts,start.v.02
at,O
ten~o'clock,O
books,book.n.02
are,O
easier,easy.a.01
than,O
How,O
wide,wide.a.01
is,O
river,river.n.01
bought,buy.v.01
dress,dress.n.01
at,O
low,low.a.01
price,price.n.02
stayed,stay.v.02
at,O
home,home.n.01
because,O
was,O
sick,sick.a.01
was,O
too,O
proud,proud.a.01
to,O
ask,ask.v.01
for,O
help,help.v.01
complained,complain.v.01
about,O
noise,noise.n.01
say,say.v.01
is,O
seriously,seriously.r.01
ill,ill.a.01
is,O
very,very.r.01
intelligent,intelligent.a.01
snows,snow.v.01
Do,O
like,like.v.02
music,music.n.01
How,O
much,O
are,O
pants,pants.n.03
concert,concert.n.01
was,O
very,very.r.01
good,good.a.01
closed,closed.a.01
door,door.n.01
owns,own.v.01
two,O
houses,house.n.01
and,O
boat,boat.n.01
din,boom.v.01
nae,O
ken,know.v.04
was,O
bewitched,bewitch.v.03
by,O
smile,smile.n.01
little~sister,little_sister.n.01
goes,go.v.01
to,O
nursery~school,O
brother,brother.n.01
wants,want.v.01
to,O
kill,kill.v.01
hates,hate.v.01
everybody,person.n.01
book,book.n.02
is,O
on,O
table,table.n.02
has,O
hat,hat.n.01
on,O
final,final.a.01
score,score.n.03
was,O
composed,compose.v.02
How,O
old,old.a.01
is,O
Deng~Xiaoping,O
wrote,write.v.01
is,O
was,O
kissed,kiss.v.01
by,O
Two,O
doctors,doctor.n.01
were,O
talking~shop,O
trip,trip.n.01
was,O
canceled,cancel.v.01
because,O
of,O
terrible,terrible.a.01
storm,storm.n.01
read,read.v.01
letter,letter.n.01
again~and~again,O
've,O
never,O
been,O
to,O
is,O
studying,study.v.05
in,O
library,library.n.03
now,O
saw,see.v.01
flying~saucer,O
broken,broken.a.01
window,window.n.01
was,O
boarded,board.v.01
up,O
embraces,embrace.v.01
How,O
