Doc,Word,Baseline,System
p02/d0010,girl,1,0
p02/d0010,styling,0,1
p02/d0010,hair,1,1
p02/d0136,Tom,0,0
p02/d0136,asks,0,1
p02/d0136,mother,1,1
p02/d0136,but,0,0
p02/d0136,new,1,0
p02/d0136,toy,0,0
p02/d0137,television,0,0
p02/d0137,very,0,1
p02/d0137,heavy,0,1
p02/d0712,Kraft,0,0
p02/d0712,sold,1,0
p02/d0713,people,0,0
p02/d0713,assassinated,1,0
p02/d0716,died,1,1
p02/d0781,plane,0,0
p02/d0781,flying,0,0
p02/d0781,clouds,0,0
p02/d0785,Bill,0,0
p02/d0785,years,0,0
p02/d0785,older,0,1
p02/d0795,John,0,0
p02/d0795,is,1,1
p02/d0795,brother,1,1
p02/d0795,cousin,1,1
p02/d0818,stretched,0,0
p02/d0818,hand,1,1
p02/d0818,book,0,1
p02/d0820,came,0,0
p02/d0820,old,0,1
p02/d0820,friend,1,1
p02/d0820,train,1,0
p02/d0839,He,0,0
p02/d0839,speaks,0,1
p02/d0839,English,1,1
p02/d0839,French,1,1
p02/d0847,knew,1,0
p02/d0847,John,0,0
p02/d0847,loved,0,1
p02/d0897,insulted,0,0
p02/d0909,Forgive,1,0
p02/d0909,cooked,0,1
p02/d0909,supper,1,1
p02/d0917,Mary,0,0
p02/d0917,kidnapped,1,1
p02/d0917,pirates,0,0
p02/d0926,Mr.,0,0
p02/d0926,White,0,0
p02/d0926,yard,0,1
p02/d0926,large,0,1
p02/d0932,just,0,1
p02/d0932,received,1,1
p02/d0932,letter,1,0
p02/d0945,was,0,0
p02/d0945,school,0,0
p02/d0964,sentenced,1,1
p02/d0964,months,0,1
p02/d1229,organizers,1,1
p02/d1229,expect,1,0
p02/d1229,visitors,1,1
p02/d1256,Graf,0,0
p02/d1256,defeated,0,0
p02/d1256,Australia,0,0
p02/d1304,he,0,0
p02/d1304,quiet,0,0
p02/d1304,thoughtful,0,0
p02/d1382,Who,0,0
p02/d1382,painted,1,1
p02/d1382,Sunflowers,0,0
p02/d1384,city,1,0
p02/d1384,is,0,0
p02/d1387,Who,0,0
p02/d1387,is,0,0
p02/d1387,wife,1,1
p02/d1388,company,1,1
p02/d1388,found,0,0
p02/d1389,is,0,0
p02/d1389,wife,1,1
p02/d1401,asked,1,0
p02/d1435,planted,1,0
p02/d1439,Tom,0,0
p02/d1439,reserved,0,0
p02/d1439,seat,1,0
p02/d1443,stadium,1,1
p02/d1443,adjacent,0,0
p02/d1443,school,0,0
p02/d1444,so,0,1
p02/d1444,stupid,0,0
p02/d1516,asked,0,0
p02/d1516,decaf,0,0
p02/d1535,lion,1,1
p02/d1535,roaring,0,0
p02/d1537,Beethoven,0,0
p02/d1537,wrote,0,0
p02/d1537,symphonies,1,0
p02/d1539,brought,1,0
p02/d1539,umbrella,1,0
p02/d1557,watching,0,0
p02/d1561,boring,0,0
p02/d1562,train,1,0
p02/d1562,roared,1,0
p02/d1562,tunnel,1,0
p02/d1581,obeys,1,0
p02/d1612,Tom,0,0
p02/d1612,best,0,0
p02/d1632,am,0,0
p02/d1632,China,0,0
p02/d1641,British,0,0
p02/d1641,soldiers,1,0
p02/d1641,guarded,0,0
p02/d1641,border,0,0
p02/d1681,never,0,0
p02/d1681,late,0,0
p02/d1699,zipper,0,0
p02/d1699,open,0,0
p02/d1703,ran,0,0
p02/d1703,gas,0,0
p02/d1703,middle,0,0
p02/d1703,desert,1,0
p02/d1705,selfish,1,1
p02/d1709,Mary,0,0
p02/d1709,works,0,0
p02/d1709,NGO,0,0
p02/d1709,Africa,0,0
p02/d1713,Tom,0,0
p02/d1713,misled,1,0
p02/d1718,dancing,0,0
p02/d1743,Tom,0,0
p02/d1743,sings,0,1
p02/d1743,beautifully,1,1
p02/d1746,killed,1,0
p02/d1748,favorite,0,0
p02/d1764,Tom,0,0
p02/d1764,strategy,0,0
p02/d1764,working,0,0
p02/d1798,find,0,0
p02/d1798,newspaper,0,0
p02/d1800,speaking,0,0
p02/d1809,grows,0,0
p02/d1809,garden,1,0
p02/d1817,gave,0,0
p02/d1817,clock,1,1
p02/d1823,horse,1,0
p02/d1823,white,0,0
p02/d1850,working,0,0
p02/d1864,Terrorists,1,1
p02/d1864,blew,0,0
p02/d1864,bus,1,0
p02/d1888,cool,0,0
p02/d1888,cucumber,0,1
p02/d1893,He,0,0
p02/d1893,ashamed,1,1
p02/d1893,ignorance,1,0
p02/d1915,He,0,0
p02/d1915,set,0,0
p02/d1943,taller,1,0
p02/d1943,he,0,0
p02/d1946,stared,0,0
p02/d1946,Tom,0,0
p02/d1949,throat,1,0
p02/d1949,hurts,0,0
p02/d1962,asked,0,0
p02/d1962,money,1,1
p02/d1970,prisoner,1,1
p02/d1970,released,0,0
p02/d1977,Tom,0,0
p02/d1977,needed,0,0
p02/d1977,hammer,0,0
p02/d1981,broke,0,0
p02/d1981,Tom,0,0
p02/d1981,nose,1,0
p02/d2031,Tom,0,0
p02/d2031,swim,0,0
p02/d2037,Tom,0,0
p02/d2037,bought,1,0
p02/d2050,absurd,0,0
p02/d2056,Tom,0,0
p02/d2056,is,0,0
p02/d2056,Mary,0,0
p02/d2056,husband,1,0
p02/d2057,dropped,0,0
p02/d2057,tea,1,0
p02/d2064,Who,0,0
p02/d2064,lurking,1,1
p02/d2064,shadows,0,0
p02/d2070,He,0,0
p02/d2070,promised,1,0
p02/d2070,come,0,0
p02/d2070,he,0,0
p02/d2102,It,0,0
p02/d2102,hidden,1,0
p02/d2102,bed,1,0
p02/d2114,Farting,0,0
p02/d2114,rude,0,0
p02/d2123,people,0,0
p02/d2123,died,1,0
p02/d2133,Tom,0,0
p02/d2133,speak,0,0
p02/d2162,Tom,0,0
p02/d2162,break,0,0
p02/d2162,laws,0,0
p02/d2176,wants,0,0
p02/d2176,it,0,0
p02/d2179,It,0,0
p02/d2179,looks,0,0
p02/d2179,UFO,0,0
p02/d2180,friend,1,0
p02/d2180,Tom,0,0
p02/d2180,Mary,0,0
p02/d2207,Tom,0,0
p02/d2207,famous,0,0
p02/d2208,drank,1,0
p02/d2208,wine,1,0
p02/d2210,Lambs,1,0
p02/d2210,cute,0,0
p02/d2216,lesbian,1,1
p02/d2217,He,0,0
p02/d2217,speaks,0,0
p02/d2217,languages,1,0
p02/d2227,do,0,0
p02/d2227,training,1,0
p02/d2236,Tom,0,0
p02/d2236,kissed,0,0
p02/d2236,Mary,0,0
p02/d2243,broke,0,0
p02/d2243,right,0,0
p02/d2243,leg,1,0
p02/d2256,envy,0,0
p02/d2269,dog,1,0
p02/d2269,very,0,1
p02/d2269,fast,0,0
p02/d2314,am,0,0
p02/d2314,Tokyo,0,0
p02/d2314,Japan,0,0
p02/d2318,gave,0,0
p02/d2318,money,1,0
p02/d2334,is,0,0
p02/d2334,bridge,1,0
p02/d2340,slept,0,0
p02/d2344,Tom,0,0
p02/d2344,studying,0,0
p02/d2344,library,0,0
p02/d2383,railroad,0,0
p02/d2383,constructed,1,1
p02/d2383,town,1,0
p02/d2389,All,0,0
p02/d2389,like,0,0
p02/d2419,Tom,0,0
p02/d2419,reading,0,0
p02/d2419,novel,1,0
p02/d2421,been,0,0
p02/d2421,teacher,1,0
p02/d2421,years,0,0
p02/d2428,Tom,0,0
p02/d2428,knew,1,0
p02/d2428,answer,0,0
p02/d2461,stand,0,0
p02/d2461,kinds,1,1
p02/d2461,people,0,0
p02/d2466,divorced,0,0
p02/d2466,husband,1,0
p02/d2467,boat,1,0
p02/d2467,tied,1,0
p02/d2467,cable,0,0
p02/d2472,penguin,1,1
p02/d2472,really,0,0
p02/d2472,cute,0,0
p02/d2477,confusing,1,1
p02/d2477,John,0,0
p02/d2477,Paul,0,0
p02/d2479,Tom,0,0
p02/d2479,hugged,0,0
p02/d2479,Mary,0,0
p02/d2480,Tom,0,0
p02/d2480,brainwashed,0,0
p02/d2505,has,0,0
p02/d2505,fake,0,0
p02/d2505,eyelashes,1,0
p02/d2511,big,0,0
p02/d2511,white,0,0
p02/d2511,dog,1,0
p02/d2511,looks,0,0
p02/d2511,cat,1,0
p02/d2533,Tom,0,0
p02/d2533,extremely,0,0
p02/d2533,motivated,0,1
p02/d2551,Tom,0,0
p02/d2551,visited,1,0
p02/d2551,Boston,0,0
