animal,animal.n.01
is,O
grazing,crop.v.05
in,O
field,field.n.01
dog,dog.n.01
is,O
licking,lick.v.02
baby,baby.n.01
man,man.n.01
is,O
lumping,lump.v.01
dough,dough.n.01
man,man.n.01
is,O
playing,play.v.01
trumpet,cornet.n.01
woman,woman.n.01
is,O
playing,play.v.01
flute,flute.n.01
woman,woman.n.01
is,O
slicing,slice.v.03
tofu,bean_curd.n.01
animal,animal.n.01
with,O
big,big.a.01
eyes,eye.n.01
is,O
voraciously,voraciously.r.01
eating,eat.v.01
man,man.n.01
is,O
racing,rush.v.01
for,O
lead,lead.n.02
men,man.n.01
are,O
not,O
climbing,climb.v.01
mountain,mountain.n.01
woman,woman.n.01
is,O
not,O
picking,pick.v.02
up,O
baby,baby.n.01
kangaroo,kangaroo.n.01
Two,O
children,child.n.02
are,O
playing,play.v.01
with,O
ball,ball.n.01
in,O
park,park.n.02
Two,O
people,person.n.01
are,O
kickboxing,O
and,O
spectators,spectator.n.01
watching,watch.v.03
broke,break_out.v.01
bus~stop,bus_stop.n.01
is,O
n't,O
far,far.a.01
from,O
sold,sell.v.01
to,O
in,O
lives,live.v.01
on,O
was,O
very,very.r.01
happy,happy.a.01
baby,baby.n.01
is,O
crawling,crawl.v.03
Do,O
have,O
credit~card,credit_card.n.01
bought,buy.v.01
book,book.n.02
for,O
ten,O
dollars,dollar.n.01
older,old.a.01
brother,brother.n.01
is,O
two,O
years,year.n.01
than,O
Does,O
speak,speak.v.03
gave,give.v.03
dog,dog.n.01
bone,bone.n.01
armed,armed.a.01
with,O
guns,gun.n.01
showers,lavish.v.01
morning,morning.n.01
was,O
born,bear.v.02
on,O
in,O
When,O
entered,enter.v.01
room,room.n.01
was,O
playing,play.v.01
piano,piano.n.01
's,O
room,room.n.01
was,O
large,large.a.01
one,person.n.01
hate,hate.v.01
Mondays,monday.n.01
kind,entity.n.01
of,O
monkeys,monkey.n.01
are,O
spread,spread.v.09
table,table.n.02
returned,return.v.01
from,O
boy,boy.n.01
showed,show.v.04
fear,fear.n.01
's,O
very,very.r.01
sticky,sticky.a.01
Do,O
remember,remember.v.01
default,default.n.01
value,value.n.01
is,O
zero,nothing.n.01
am,O
from,O
Hello,O
and,O
always,O
dreamt,dream.v.02
of,O
studying,study.v.05
