brown,brown.a.01
dog,dog.n.01
and,O
grey,grey.n.05
are,O
fighting,contend.v.06
in,O
snow,snow.n.02
woman,woman.n.01
in,O
white,white.a.01
dress,dress.n.01
and,O
blue,blue.a.01
are,O
standing,stand.v.01
on,O
stage,stage.n.03
There,O
is,O
man,man.n.01
playing,play.v.01
two,O
keyboards,keyboard.n.01
There,O
is,O
person,person.n.01
cutting,cut.v.01
ginger,ginger.n.01
are,O
screwed,screw.v.04
is,O
man-made,man-made.s.01
language,language.n.01
which,entity.n.01
singer,singer.n.01
do,O
like,like.v.02
sold,sell.v.01
was,O
murdered,murder.v.01
is,O
inventor,inventor.n.01
of,O
dynamite,dynamite.n.01
yakuza,yakuza.n.01
are,O
Japanese,country.n.02
mafia,mafia.n.01
fears,fear.v.01
system,system.n.01
reached,reach.v.01
on,O
lives,live.v.01
near,O
Yunus,O
founded,found.v.01
years,year.n.01
ago,O
has,O
long,long.a.02
hair,hair.n.01
How,O
slow,slow.a.04
are,O
astronauts,astronaut.n.01
went,go.v.01
up,O
to,O
moon,moon.n.01
in,O
rocket,rocket.n.01
stood,stand_up.v.01
at,O
door,door.n.01
and,O
waited,wait.v.01
is,O
popular,popular.a.01
at,O
school,school.n.02
was,O
killed,kill.v.01
by,O
intruder,intruder.n.01
took,take.v.02
two,O
hours,hour.n.01
to,O
memorize,memorize.v.01
sentence,sentence.n.01
is,O
camera,camera.n.01
'm,O
calling,call.v.03
because,O
've,O
lost,lose.v.02
credit~card,credit_card.n.01
Let,O
's,O
have,O
sushi,sushi.n.01
dog,dog.n.01
attacked,attack.v.04
little,little.a.03
boy,boy.n.01
Think,think.v.01
about,O
like,like.v.02
actor,actor.n.01
gave,give.v.03
to,O
mommy,ma.n.01
bought,buy.v.01
few,O
eggs,egg.n.02
and,O
little,little.a.03
milk,milk.n.01
uncle,uncle.n.01
bought,buy.v.01
book,book.n.02
'll,O
buy,buy.v.01
new,new.a.01
one,person.n.01
's,O
nice,nice.a.01
brother,brother.n.01
was,O
nasty,nasty.a.01
to,O
's,O
not,O
like,like.v.02
's,O
much,O
younger,young.a.01
than,O
can,O
swim,swim.v.01
is,O
head,head.n.01
taller,tall.a.01
than,O
waved,wave.v.01
good-bye,adieu.n.01
to,O
used,O
to,O
play,play.v.01
tennis,tennis.n.01
Oil,oil.n.01
has,O
been,O
discovered,discover.v.01
under,O
is,O
do,O
n't,O
remember,remember.v.01
name,name.n.01
threw,throw.v.01
up,O
want,want.v.01
to,O
pay,pay.v.01
with,O
check,check.n.01
has,O
three,O
brothers,brother.n.01
customer,customer.n.01
is,O
always,O
right,O
One,O
plus,plus.n.02
two,O
is,O
equal,equal.a.01
to,O
three,O
suit,suit.n.01
book,book.n.02
is,O
big,big.a.01
have,O
to,O
hurry,hurry.v.01
is,O
woman,woman.n.01
cars,car.n.01
were,O
stolen,steal.v.01
Where,location.n.01
are,O
parking~metres,O
is,O
opening,open.v.01
window,window.n.01
parents,parent.n.01
come,come.v.02
from,O
won,win.v.01
gold~medal,gold_medal.n.01
beautiful,beautiful.a.01
rainbow,rainbow.n.01
garden,garden.n.01
was,O
full,full.a.01
of,O
beautiful,beautiful.a.01
yellow,yellow.a.01
flowers,flower.n.01
is,O
of,O
mother,mother.n.01
told,tell.v.02
to,O
mow,mow.v.01
lawn,lawn.n.01
used,O
toothpick,toothpick.n.01
love,love.v.01
is,O
nonsense,nonsense.n.01
do,O
n't,O
want,want.v.01
pizza,pizza.n.01
'm,O
not,O
hungry,hungry.a.01
seedless,seedless.a.01
watermelons,watermelon.n.01
exist,exist.v.01
lost,lose.v.02
key,key.n.01
If,O
do,O
n't,O
like,like.v.02
then,O
can,O
quit,quit.v.01
guy,guy.n.01
is,O
completely,completely.r.01
nuts,nuts.a.01
'm,O
sleepy,sleepy.a.01
data,data.n.01
network,network.n.01
is,O
now,O
complete,complete.a.01
shooting,shoot.v.01
had,O
ceased,discontinue.v.01
has,O
fled,flee.v.01
boy-scouts,O
jeered,jeer.v.01
and,O
scuttled,scurry.v.01
into,O
building,building.n.01
Five,O
rings,ring.v.01
In,O
site,site.n.01
was,O
