brown,brown.a.01,brown.a.01,1
dog,dog.n.01,dog.n.01,1
and,O,O,1
grey,grey.a.01,grey.n.05,0
are,O,O,1
fighting,fight.v.01,contend.v.06,1
in,O,O,1
snow,snow.n.02,snow.n.02,1
woman,woman.n.01,woman.n.01,1
in,O,O,1
white,white.a.01,white.a.01,1
dress,dress.n.01,dress.n.01,1
and,O,O,1
blue,blue.a.01,blue.a.01,1
are,O,O,1
standing,stand.v.03,stand.v.01,0
on,O,O,1
stage,stage.n.03,stage.n.03,1
There,O,O,1
is,O,O,1
man,man.n.01,man.n.01,1
playing,play.v.07,play.v.01,0
two,O,O,1
keyboards,keyboard.n.01,keyboard.n.01,1
There,O,O,1
is,O,O,1
person,person.n.01,person.n.01,1
cutting,cut.v.01,cut.v.01,1
ginger,ginger.n.02,ginger.n.01,0
are,O,O,1
screwed,screw.v.05,screw.v.04,0
is,be.v.01,O,0
man-made,man-made.a.01,man-made.s.01,1
language,language.n.01,language.n.01,1
which,entity.n.01,entity.n.01,1
singer,singer.n.01,singer.n.01,1
do,O,O,1
like,like.v.03,like.v.02,0
sold,sell.v.01,sell.v.01,1
was,O,O,1
murdered,murder.v.01,murder.v.01,1
is,be.v.02,O,0
inventor,inventor.n.01,inventor.n.01,1
of,O,O,1
dynamite,dynamite.n.01,dynamite.n.01,1
yakuza,yakuza.n.02,yakuza.n.01,0
are,be.v.02,O,0
Japanese,country.n.02,country.n.02,1
mafia,mafia.n.01,mafia.n.01,1
fears,fear.v.02,fear.v.01,0
system,system.n.02,system.n.01,0
reached,reach.v.01,reach.v.01,1
on,O,O,1
lives,live.v.01,live.v.01,1
near,near.a.01,O,0
Yunus,male.n.02,O,0
founded,found.v.01,found.v.01,1
years,year.n.01,year.n.01,1
ago,O,O,1
has,have.v.02,O,0
long,long.a.02,long.a.02,1
hair,hair.n.01,hair.n.01,1
How,O,O,1
slow,slow.a.03,slow.a.04,0
are,O,O,1
astronauts,astronaut.n.01,astronaut.n.01,1
went,go_up.v.07,go.v.01,0
up,O,O,1
to,O,O,1
moon,moon.n.01,moon.n.01,1
in,O,O,1
rocket,rocket.n.01,rocket.n.01,1
stood,stand.v.03,stand_up.v.01,0
at,O,O,1
door,door.n.01,door.n.01,1
and,O,O,1
waited,wait.v.01,wait.v.01,1
is,be.v.01,O,0
popular,popular.a.01,popular.a.01,1
at,O,O,1
school,school.n.06,school.n.02,0
was,O,O,1
killed,kill.v.01,kill.v.01,1
by,O,O,1
intruder,intruder.n.01,intruder.n.01,1
took,take.v.02,take.v.02,1
two,O,O,1
hours,hour.n.01,hour.n.01,1
to,O,O,1
memorize,memorize.v.01,memorize.v.01,1
sentence,sentence.n.01,sentence.n.01,1
is,be.v.02,O,0
camera,camera.n.01,camera.n.01,1
'm,O,O,1
calling,call.v.03,call.v.03,1
because,O,O,1
've,O,O,1
lost,lose.v.05,lose.v.02,0
credit~card,credit_card.n.01,credit_card.n.01,1
Let,O,O,1
's,O,O,1
have,have.v.06,O,0
sushi,sushi.n.01,sushi.n.01,1
dog,dog.n.01,dog.n.01,1
attacked,attack.v.04,attack.v.04,1
little,little.a.03,little.a.03,1
boy,boy.n.01,boy.n.01,1
Think,think.v.03,think.v.01,0
about,O,O,1
like,like.v.03,like.v.02,0
actor,actor.n.01,actor.n.01,1
gave,give.v.03,give.v.03,1
to,O,O,1
mommy,mommy.n.01,ma.n.01,1
bought,buy.v.01,buy.v.01,1
few,O,O,1
eggs,egg.n.02,egg.n.02,1
and,O,O,1
little,O,little.a.03,0
milk,milk.n.01,milk.n.01,1
uncle,uncle.n.01,uncle.n.01,1
bought,buy.v.01,buy.v.01,1
book,book.n.02,book.n.02,1
'll,O,O,1
buy,buy.v.01,buy.v.01,1
new,new.a.05,new.a.01,0
one,entity.n.01,person.n.01,0
's,O,O,1
nice,nice.a.01,nice.a.01,1
brother,brother.n.01,brother.n.01,1
was,O,O,1
nasty,nasty.a.01,nasty.a.01,1
to,O,O,1
's,O,O,1
not,O,O,1
like,like.a.01,like.v.02,0
's,O,O,1
much,O,O,1
younger,young.a.01,young.a.01,1
than,O,O,1
can,O,O,1
swim,swim.v.01,swim.v.01,1
is,O,O,1
head,head.n.11,head.n.01,0
taller,tall.a.01,tall.a.01,1
than,O,O,1
waved,wave.v.01,wave.v.01,1
good-bye,good-bye.n.01,adieu.n.01,1
to,O,O,1
used,use.v.06,O,0
to,O,O,1
play,play.v.01,play.v.01,1
tennis,tennis.n.01,tennis.n.01,1
Oil,oil.n.03,oil.n.01,0
has,O,O,1
been,O,O,1
discovered,discover.v.03,discover.v.01,0
under,O,O,1
is,be.v.02,O,0
do,O,O,1
n't,O,O,1
remember,remember.v.01,remember.v.01,1
name,name.n.01,name.n.01,1
threw,throw_up.v.01,throw.v.01,0
up,O,O,1
want,want.v.01,want.v.01,1
to,O,O,1
pay,pay.v.01,pay.v.01,1
with,O,O,1
check,check.n.01,check.n.01,1
has,have.v.01,O,0
three,O,O,1
brothers,brother.n.01,brother.n.01,1
customer,customer.n.01,customer.n.01,1
is,O,O,1
always,O,O,1
right,right.a.02,O,0
One,O,O,1
plus,plus.n.02,plus.n.02,1
two,O,O,1
is,O,O,1
equal,equal.a.01,equal.a.01,1
to,O,O,1
three,O,O,1
suit,suit.n.01,suit.n.01,1
book,book.n.02,book.n.02,1
is,O,O,1
big,big.a.01,big.a.01,1
have,O,O,1
to,O,O,1
hurry,hurry.v.01,hurry.v.01,1
is,be.v.02,O,0
woman,woman.n.01,woman.n.01,1
cars,car.n.01,car.n.01,1
were,O,O,1
stolen,steal.v.01,steal.v.01,1
Where,location.n.01,location.n.01,1
are,be.v.03,O,0
parking~metres,parking_meter.n.01,O,0
is,O,O,1
opening,open.v.01,open.v.01,1
window,window.n.01,window.n.01,1
parents,parent.n.01,parent.n.01,1
come,come.v.08,come.v.02,0
from,O,O,1
won,win.v.01,win.v.01,1
gold~medal,gold_medal.n.01,gold_medal.n.01,1
beautiful,beautiful.a.01,beautiful.a.01,1
rainbow,rainbow.n.01,rainbow.n.01,1
garden,garden.n.01,garden.n.01,1
was,O,O,1
full,full.a.01,full.a.01,1
of,O,O,1
beautiful,beautiful.a.01,beautiful.a.01,1
yellow,yellow.a.01,yellow.a.01,1
flowers,flower.n.01,flower.n.01,1
is,be.v.02,O,0
of,O,O,1
mother,mother.n.01,mother.n.01,1
told,tell.v.04,tell.v.02,0
to,O,O,1
mow,mow.v.01,mow.v.01,1
lawn,lawn.n.01,lawn.n.01,1
used,use.v.01,O,0
toothpick,toothpick.n.01,toothpick.n.01,1
love,love.v.01,love.v.01,1
is,O,O,1
nonsense,nonsense.a.01,nonsense.n.01,0
do,O,O,1
n't,O,O,1
want,want.v.01,want.v.01,1
pizza,pizza.n.01,pizza.n.01,1
'm,O,O,1
not,O,O,1
hungry,hungry.a.01,hungry.a.01,1
seedless,seedless.a.01,seedless.a.01,1
watermelons,watermelon.n.02,watermelon.n.01,0
exist,exist.v.01,exist.v.01,1
lost,lose.v.04,lose.v.02,0
key,key.n.01,key.n.01,1
If,O,O,1
do,O,O,1
n't,O,O,1
like,like.v.02,like.v.02,1
then,O,O,1
can,O,O,1
quit,quit.v.01,quit.v.01,1
guy,guy.n.01,guy.n.01,1
is,O,O,1
completely,completely.r.01,completely.r.01,1
nuts,nuts.a.01,nuts.a.01,1
'm,O,O,1
sleepy,sleepy.a.01,sleepy.a.01,1
data,data.n.01,data.n.01,1
network,network.n.01,network.n.01,1
is,O,O,1
now,O,O,1
complete,complete.a.01,complete.a.01,1
shooting,shooting.n.01,shoot.v.01,0
had,O,O,1
ceased,cease.v.01,discontinue.v.01,1
has,O,O,1
fled,flee.v.01,flee.v.01,1
boy-scouts,boy_scout.n.01,O,0
jeered,jeer.v.01,jeer.v.01,1
and,O,O,1
scuttled,scuttle.v.01,scurry.v.01,1
into,O,O,1
building,building.n.01,building.n.01,1
Five,O,O,1
rings,ring.n.08,ring.v.01,0
In,O,O,1
site,site.n.01,site.n.01,1
was,O,O,1
acquired,acquire.v.01,acquire.v.01,1
by,O,O,1
announced,announce.v.02,announce.v.03,0
economy,economy.n.01,economy.n.01,1
measures,measure.n.01,measure.v.03,0
have,O,O,1
been,O,O,1
arrested,arrest.v.01,arrest.v.01,1
already,O,O,1
were,O,O,1
silent,silent.a.02,silent.a.01,1
is,be.v.02,O,0
height,height.n.01,height.n.01,1
of,O,O,1
tallest,tall.a.01,tall.a.01,1
redwood,redwood.n.02,redwood.n.01,0
directed,direct.v.03,direct.v.03,1
film,film.n.01,film.n.01,1
roller~coaster,roller_coaster.n.02,roller_coaster.n.02,1
is,be.v.02,O,0
fastest,fast.a.01,fast.a.01,1
in,O,O,1
world,world.n.04,world.n.04,1
How,O,O,1
tall,tall.a.01,tall.a.01,1
is,O,O,1
How,O,O,1
many,O,O,1
people,person.n.01,person.n.01,1
in,O,O,1
do,O,O,1
not,O,O,1
have,have.v.02,O,0
health~insurance,health_insurance.n.01,O,0
How,manner.n.01,O,0
did,O,O,1
die,die.v.01,die.v.01,1
'm,O,O,1
bored,bored.a.02,bore.v.01,0
right,O,O,1
now,O,O,1
were,O,O,1
satisfied,satisfied.a.01,satisfied.a.01,1
shrugged,shrug.v.01,shrug.v.01,1
shoulders,shoulder.n.01,shoulder.n.01,1
is,be.v.01,O,0
airline,airline.n.02,airline.n.02,1
based,based.a.02,based.a.02,1
in,O,O,1
is,O,O,1
fakir,fakir.n.01,fakir.n.01,1
is,O,O,1
out,out.r.01,O,0
now,O,O,1
was,O,O,1
n't,O,O,1
wearing,wear.v.01,wear.v.01,1
thing,entity.n.01,entity.n.01,1
's,O,O,1
absent-minded,absentminded.a.01,O,0
abhors,abhor.v.01,abhor.v.01,1
violence,violence.n.01,violence.n.01,1
is,be.v.08,O,0
not,O,O,1
good,good.a.01,good.a.01,1
sailor,sailor.n.01,sailor.n.01,1
Everyone,person.n.01,person.n.01,1
's,O,O,1
eating,eat.v.02,eat.v.01,0
is,be.v.01,O,0
old,old.a.02,old.a.01,1
letter,letter.n.01,letter.n.01,1
is,O,O,1
rinsing,rinse.v.01,rinse.v.01,1
dishes,dish.n.01,dish.n.01,1
Will,O,O,1
die,die.v.01,die.v.01,1
house,house.n.01,house.n.01,1
has,O,O,1
burnt,burn_down.v.01,burn.v.01,0
down,O,O,1
is,O,O,1
being,O,O,1
silly,silly.a.01,silly.a.01,1
n't,O,O,1
smoked,smoke.v.01,smoke.v.01,1
cigar,cigar.n.01,cigar.n.01,1
is,O,O,1
disrespectful,disrespectful.a.01,disrespectful.a.01,1
's,O,O,1
brushing,brush.v.03,brush.v.03,1
hair,hair.n.01,hair.n.01,1
loved,love.v.03,love.v.03,1
have,O,O,1
n't,O,O,1
been,be.v.03,O,0
to,O,O,1
since,O,O,1
college,college.n.02,college.n.02,1
was,O,O,1
founded,found.v.01,found.v.01,1
by,O,O,1
Something,entity.n.01,entity.n.01,1
's,O,O,1
burning,burn.v.01,burn.v.01,1
sun,sun.n.01,sun.n.01,1
is,O,O,1
rising,rise.v.01,rise.v.01,1
sister,sister.n.01,sister.n.01,1
is,O,O,1
n't,O,O,1
studying,study.v.05,study.v.05,1
now,O,O,1
Is,O,O,1
cat,cat.n.01,cat.n.01,1
all~right,all_right.a.01,all_right.a.01,1
does,O,O,1
n't,O,O,1
know,know.v.04,know.v.01,0
door,door.n.01,door.n.01,1
is,O,O,1
opening,open.v.01,open.v.01,1
now,O,O,1
There,O,O,1
are,be.v.03,O,0
